,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_175015,0.0,0.0,1.13525e-07,7.065e-07,8.61e-07,4.1775e-07
segment_175016,0.0,0.0,3.5725e-09,1.903e-08,2.401e-08,1.13075e-08
segment_175017,0.0,0.0,2.85e-08,1.574e-07,1.94325e-07,9.325e-08
segment_175018,0.0,0.0,9.185e-08,5.6025e-07,6.975e-07,3.3625e-07
segment_175019,0.0,0.0,9.1325e-09,4.905e-08,6.0625e-08,2.885e-08
segment_175020,0.0,0.0,0.0,0.0,0.0,0.0
segment_175021,0.0,0.0,0.000232175,0.00179925,0.00212875,0.0016715
segment_175022,0.0,0.0,7.0175e-05,0.00355,0.0294,0.00617
segment_175023,0.0,0.0,2.25975e-09,1.34125e-08,1.73675e-08,8.705e-09
segment_175024,0.0,0.0,1.7225e-09,9.6425e-09,1.2865e-08,6.2725e-09
segment_175025,0.0,0.0,5.3025e-09,3.1925e-08,4.1875e-08,2.06775e-08
segment_175026,0.0,0.0,1.82975e-07,1.33475e-06,1.66025e-06,8.3825e-07
segment_175027,0.0,0.0,7.3225e-05,0.00364,0.0336,0.007035
segment_175028,0.0,0.0,0.0,0.004355,0.046775,0.008595
segment_175029,0.0,0.0,0.0,0.0041275,0.043,0.0081975
segment_175030,0.0,0.0,0.000245825,0.0022075,0.00288,0.00212125
segment_175031,0.0,0.0,3.5325e-07,1.76375e-06,1.9665e-06,1.10725e-06
segment_175032,0.0,0.0,1.758e-07,7.9625e-07,8.9725e-07,4.96e-07
segment_175033,0.0,0.0,4.6775e-07,2.37275e-06,2.6125e-06,1.47125e-06
segment_175034,0.0,0.0,5.775e-07,3.09e-06,3.4e-06,1.92175e-06
segment_175035,0.0,0.0,1.151e-07,5.12e-07,5.7575e-07,3.18e-07
segment_175036,0.0,0.0,2.815e-08,1.3185e-07,1.505e-07,8.1825e-08
segment_175037,0.0,0.0,0.0,0.0,0.0,0.0
segment_175038,0.0,0.0,0.0,0.0,0.0,0.0
segment_175039,0.0,0.0,0.0,0.0,0.0,0.0
segment_175040,0.0,0.0,0.0,0.0,0.0,0.0
segment_175041,0.0,0.0,0.0,0.0,0.0,0.0
segment_175042,0.0,0.0,0.0,0.0,0.0,0.0
segment_175043,0.0,0.0,0.0,0.0,0.0,0.0
segment_175044,0.0,0.0,0.0,0.0,0.0,0.0
segment_175045,0.0,0.0,5.6625e-07,2.715e-06,3.0175e-06,1.69925e-06
segment_175046,0.0,0.0,1.1515e-06,5.74e-06,6.3375e-06,3.6075e-06
segment_175047,0.0,0.0,0.0,0.0,0.0,0.0
segment_175048,0.0,0.0,0.0,0.0,0.0,0.0
