LON,LAT,vs30,z1p0,z2p5,vs30source,vs30_ref,z1p0_ref,z2p5_ref
-124.35,41.95,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.35,42,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.3,42,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.3,41.95,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,40.15,180,0.037936295,0.828,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.1,180,0.01877877,0.78,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.2,468.4,0.06125,0.877333313,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.25,468.4,0.019607651,0.91,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.3,468.4,0.04375,0.86,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.35,468.4,0,0.892,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.4,468.4,0.039138344,0.925,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.45,468.4,0.043529411,0.85875,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.5,468.4,0.058432457,0.856,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.55,468.4,0,0.85375,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.6,228.2,0.019047165,0.902666687,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.65,228.2,0.019047165,0.904,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.7,204.7270632,0.018956852,0.9025,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.75,180,0.0192304,0.885333313,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.8,180,0.019607651,0.87,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,40.85,180,0.038604004,0.8375,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.25,40.85,180,0.019900448,0.85375,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),USGS Bay Area Velocity Model Release 8.3.0,USGS Bay Area Velocity Model Release 8.3.0
-124.3,41.1,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.3,41.15,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,41.15,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,41.1,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.3,41.65,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,41.7,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,41.65,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,41.75,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,41.8,319.180929,319.180929,319.180929,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,41.85,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,41.9,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
-124.25,41.95,180,180,180,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008),Global Vs30 from Topographic Slope (Wald & Allen 2008)
