ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,section_crossed,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,beta_crossing,psi_dip,theta_rake
4714,-121.3124325,38.79571065,-121.3117176,38.79572005,-121.31207505,38.79571535,0.061965,1044,101.6,4714,1,307.1,88.0,263.0,175.00000000000009,,,307.1,-121.31207504999999,38.79571535,0.25,135,15,45
4715,-121.3117176,38.79572005,-121.3112067,38.79573391,-121.31146215,38.79572698,0.044303,1044,101.6,4715,1,253.8,87.0,35.0,128.0,,,253.8,-121.31146214999998,38.795726980000005,0.25,135,15,45
4716,-121.3112067,38.79573391,-121.3105342,38.79574966,-121.31087045,38.795741785,0.058308,1044,101.6,4716,1,202.4,87.2,35.0,127.8,,,202.4,-121.31087045000001,38.79574178499999,0.25,135,15,45
4717,-121.3105342,38.79574966,-121.3100089,38.79575491,-121.31027155,38.795752285,0.045528,1044,101.6,4717,1,150.4,88.2,342.0,106.2,,,150.4,-121.31027155,38.795752285000006,0.25,135,15,45
4718,-121.3100089,38.79575491,-121.3092618,38.79575261,-121.30963535,38.79575376,0.064747,1044,101.6,4718,1,95.1,89.2,342.0,107.20000000000002,,,95.1,-121.30963534999998,38.79575376,0.25,135,15,45
4719,-121.3092618,38.79575261,-121.3085403,38.79574585,-121.30890105,38.79574923,0.062532,1044,101.6,4719,1,31.3,89.6,300.0,149.6,,,31.3,-121.30890105000002,38.79574922999999,0.25,135,15,45
4720,-121.3085403,38.79574585,-121.3083801,38.79549027,-121.3084602,38.79561806,0.031629,1044,101.6,4720,1,15.8,152.8,300.0,147.20000000000002,,,15.8,-121.3084602,38.79561806,0.25,135,15,45
4721,-121.3083801,38.79549027,-121.3075579,38.79549567,-121.307969,38.79549297,0.071258,1044,101.6,4721,1,35.7,88.5,55.0,146.50000000000003,,,35.7,-121.307969,38.79549297,0.25,135,15,45
4722,-121.3075579,38.79549567,-121.3067357,38.79550107,-121.3071468,38.79549837,0.071258,1044,101.6,4722,1,107.1,88.5,321.0,127.50000000000004,,,107.1,-121.30714680000001,38.79549837,0.25,135,15,45
4723,-121.3067357,38.79550107,-121.3059135,38.79550647,-121.3063246,38.79550377,0.071258,1044,101.6,4723,1,178.6,88.5,321.0,127.50000000000004,,,178.6,-121.3063246,38.79550377000001,0.25,135,15,45
4724,-121.3059135,38.79550647,-121.3049827,38.79552463,-121.3054481,38.79551555,0.080692,1044,101.6,4724,1,153.3,87.5,326.0,121.50000000000004,,,153.3,-121.3054481,38.79551555,0.25,135,15,45
