SourceIndex,Longitude,Latitude,Depth
253967,-114.1,32.9,0
253968,-114,32.9,0
253969,-113.9,32.9,0
253970,-113.8,32.9,0
253971,-113.7,32.9,0
253972,-113.6,32.9,0
253973,-118.9,33,0
253974,-118.8,33,0
253975,-118.7,33,0
253976,-118.6,33,0
253977,-118.5,33,0
253978,-118.4,33,0
253979,-118.3,33,0
253980,-118.2,33,0
253981,-118.1,33,0
253982,-118,33,0
253983,-117.9,33,0
253984,-117.8,33,0
253985,-117.7,33,0
253986,-117.6,33,0
253987,-117.5,33,0
253988,-117.4,33,0
253989,-117.3,33,0
253990,-117.2,33,0
253991,-117.1,33,0
253992,-117,33,0
253993,-116.9,33,0
253994,-116.8,33,0
253995,-116.7,33,0
253996,-116.6,33,0
253997,-116.5,33,0
253998,-116.4,33,0
253999,-116.3,33,0
254000,-116.2,33,0
254001,-116.1,33,0
254002,-116,33,0
254003,-115.9,33,0
254004,-115.8,33,0
254005,-115.7,33,0
254006,-115.6,33,0
254007,-115.5,33,0
254008,-115.4,33,0
254009,-115.3,33,0
254010,-115.2,33,0
254011,-115.1,33,0
254012,-115,33,0
254013,-114.9,33,0
254014,-114.8,33,0
254015,-114.7,33,0
254016,-114.6,33,0
254017,-114.5,33,0
254018,-114.4,33,0
254019,-114.3,33,0
254020,-114.2,33,0
254021,-114.1,33,0
254022,-114,33,0
254023,-113.9,33,0
254024,-113.8,33,0
254025,-113.7,33,0
254026,-113.6,33,0
254027,-113.5,33,0
254028,-119.2,33.1,0
254029,-119.1,33.1,0
254030,-119,33.1,0
254031,-118.9,33.1,0
254032,-118.8,33.1,0
254033,-118.7,33.1,0
254034,-118.6,33.1,0
254035,-118.5,33.1,0
254036,-118.4,33.1,0
254037,-118.3,33.1,0
254038,-118.2,33.1,0
254039,-118.1,33.1,0
254040,-118,33.1,0
254041,-117.9,33.1,0
254042,-117.8,33.1,0
254043,-117.7,33.1,0
254044,-117.6,33.1,0
254045,-117.5,33.1,0
254046,-117.4,33.1,0
254047,-117.3,33.1,0
