SectionID,SectionName,SectionTrace
99,"San Gregorio (North) 2011 CFM, Subsection 5","[[-122.59019, 37.70304, 0.0], [-122.57074, 37.6583, 0.0], [-122.5694, 37.65524, 0.0]]"
2193,"San Gregorio (North) 2011 CFM, Subsection 4","[[-122.611, 37.75083, 0.0], [-122.59019, 37.70304, 0.0]]"
1816,"San Gregorio (North) 2011 CFM, Subsection 3","[[-122.63269, 37.79837, 0.0], [-122.62569, 37.78453, 0.0], [-122.611, 37.75083, 0.0]]"
2544,"San Gregorio (North) 2011 CFM, Subsection 2","[[-122.65645, 37.8453, 0.0], [-122.63269, 37.79837, 0.0]]"
2424,"San Gregorio (North) 2011 CFM, Subsection 1","[[-122.68107, 37.89196, 0.0], [-122.65915, 37.85063, 0.0], [-122.65645, 37.8453, 0.0]]"
1553,"San Gregorio (North) 2011 CFM, Subsection 0","[[-122.70499, 37.93885, 0.0], [-122.6831, 37.89578, 0.0], [-122.68107, 37.89196, 0.0]]"
1282,"San Andreas (North Coast) 2011 CFM, Subsection 1","[[-122.70154, 37.93494, 0.0], [-122.70197, 37.9354, 0.0], [-122.73466, 37.97518, 0.0]]"
1409,"San Andreas (North Coast) 2011 CFM, Subsection 2","[[-122.73466, 37.97518, 0.0], [-122.76778, 38.01543, 0.0]]"
1882,"San Andreas (North Coast) 2011 CFM, Subsection 3","[[-122.76778, 38.01543, 0.0], [-122.77521, 38.02445, 0.0], [-122.80456, 38.05362, 0.0]]"
1029,"San Andreas (North Coast) 2011 CFM, Subsection 4","[[-122.80456, 38.05362, 0.0], [-122.84242, 38.09121, 0.0]]"
2230,"San Andreas (North Coast) 2011 CFM, Subsection 5","[[-122.84242, 38.09121, 0.0], [-122.84895, 38.09768, 0.0], [-122.87902, 38.12957, 0.0]]"
133,"San Andreas (North Coast) 2011 CFM, Subsection 6","[[-122.87902, 38.12957, 0.0], [-122.89467, 38.14614, 0.0], [-122.91499, 38.16831, 0.0]]"
209,"San Andreas (North Coast) 2011 CFM, Subsection 7","[[-122.91499, 38.16831, 0.0], [-122.95068, 38.20722, 0.0]]"
22,"San Andreas (North Coast) 2011 CFM, Subsection 8","[[-122.95068, 38.20722, 0.0], [-122.9683, 38.22641, 0.0], [-122.98424, 38.24725, 0.0]]"
1278,"San Andreas (North Coast) 2011 CFM, Subsection 9","[[-122.98424, 38.24725, 0.0], [-123.0007, 38.26875, 0.0], [-123.01624, 38.28811, 0.0]]"
