ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,x1,y1,x2,y2,qfault_crossed,psi_dip,theta_rake,rake_azimuth,crossing_lon,crossing_lat,beta_crossing,l_anchor,qfault_type,prob_crossing,event_ind,event_id,norm_dist
201732,-118.3959875,33.96585173,-118.3960234,33.9651022,-118.39600545,33.965476965,0.08341,2749,762.0,201732,1,212.8,179.7,291.0,111.3,925513.8550959722,3767933.619261165,925514.2780468548,3767850.262469779,2013,88.0,163.6,139.4,-118.39598750000002,33.96585173,40.3,212.8,secondary,0.2731,688,693,0.1479
201732,-118.3959875,33.96585173,-118.3960234,33.9651022,-118.39600545,33.965476965,0.08341,2749,762.0,201732,1,212.8,179.7,291.0,111.3,925513.8550959722,3767933.619261165,925514.2780468548,3767850.262469779,2013,88.0,163.6,139.4,-118.39598750000002,33.96585173,40.3,212.8,secondary,0.2731,689,694,0.0548
201732,-118.3959875,33.96585173,-118.3960234,33.9651022,-118.39600545,33.965476965,0.08341,2749,762.0,201732,1,212.8,179.7,291.0,111.3,925513.8550959722,3767933.619261165,925514.2780468548,3767850.262469779,2013,88.0,163.6,139.4,-118.39598750000002,33.96585173,40.3,212.8,secondary,0.2731,690,695,0.0548
201733,-118.3960234,33.9651022,-118.3960327,33.96459151,-118.39602805,33.964846855,0.056793,2749,762.0,201733,1,142.8,178.3,235.0,123.3,925514.2780468548,3767850.262469779,925515.9684644546,3767793.530666901,2013,88.0,163.6,139.4,-118.3960234,33.96510219999998,38.9,142.8,secondary,0.1806,688,693,0.1515
201733,-118.3960234,33.9651022,-118.3960327,33.96459151,-118.39602805,33.964846855,0.056793,2749,762.0,201733,1,142.8,178.3,235.0,123.3,925514.2780468548,3767850.262469779,925515.9684644546,3767793.530666901,2013,88.0,163.6,139.4,-118.3960234,33.96510219999998,38.9,142.8,secondary,0.1806,689,694,0.0562
201733,-118.3960234,33.9651022,-118.3960327,33.96459151,-118.39602805,33.964846855,0.056793,2749,762.0,201733,1,142.8,178.3,235.0,123.3,925514.2780468548,3767850.262469779,925515.9684644546,3767793.530666901,2013,88.0,163.6,139.4,-118.3960234,33.96510219999998,38.9,142.8,secondary,0.1806,690,695,0.0562
201734,-118.3960327,33.96459151,-118.3960419,33.96408081,-118.3960373,33.96433616,0.056794,2749,762.0,201734,1,86.0,178.3,234.0,124.3,925515.9684644546,3767793.530666901,925517.6681377522,3767736.798172348,2013,88.0,163.6,139.4,-118.3960327,33.96459151,38.9,86.0,secondary,0.1806,688,693,0.154
201734,-118.3960327,33.96459151,-118.3960419,33.96408081,-118.3960373,33.96433616,0.056794,2749,762.0,201734,1,86.0,178.3,234.0,124.3,925515.9684644546,3767793.530666901,925517.6681377522,3767736.798172348,2013,88.0,163.6,139.4,-118.3960327,33.96459151,38.9,86.0,secondary,0.1806,689,694,0.0571
201734,-118.3960327,33.96459151,-118.3960419,33.96408081,-118.3960373,33.96433616,0.056794,2749,762.0,201734,1,86.0,178.3,234.0,124.3,925515.9684644546,3767793.530666901,925517.6681377522,3767736.798172348,2013,88.0,163.6,139.4,-118.3960327,33.96459151,38.9,86.0,secondary,0.1806,690,695,0.0571
201735,-118.3960419,33.96408081,-118.3960495,33.96356201,-118.3960457,33.96382141,0.057692,2749,762.0,201735,1,28.8,178.1,201.0,157.1,925517.6681377522,3767736.798172348,925519.5562211631,3767679.173135265,2013,88.0,163.6,139.4,-118.39604190000001,33.96408080999999,38.8,28.8,secondary,0.1828,688,693,0.1564
201735,-118.3960419,33.96408081,-118.3960495,33.96356201,-118.3960457,33.96382141,0.057692,2749,762.0,201735,1,28.8,178.1,201.0,157.1,925517.6681377522,3767736.798172348,925519.5562211631,3767679.173135265,2013,88.0,163.6,139.4,-118.39604190000001,33.96408080999999,38.8,28.8,secondary,0.1828,689,694,0.058
201735,-118.3960419,33.96408081,-118.3960495,33.96356201,-118.3960457,33.96382141,0.057692,2749,762.0,201735,1,28.8,178.1,201.0,157.1,925517.6681377522,3767736.798172348,925519.5562211631,3767679.173135265,2013,88.0,163.6,139.4,-118.39604190000001,33.96408080999999,38.8,28.8,secondary,0.1828,690,695,0.058
201736,-118.3960495,33.96356201,-118.3953466,33.96356087,-118.39569805,33.96356144,0.064825,2749,762.0,201736,1,32.5,87.5,201.0,113.50000000000004,925519.5562211631,3767679.173135265,925584.5802112299,3767681.971904199,2013,88.0,163.6,139.4,-118.3960495,33.963562010000004,51.8,32.5,secondary,0.2528,688,693,0.1596
201736,-118.3960495,33.96356201,-118.3953466,33.96356087,-118.39569805,33.96356144,0.064825,2749,762.0,201736,1,32.5,87.5,201.0,113.50000000000004,925519.5562211631,3767679.173135265,925584.5802112299,3767681.971904199,2013,88.0,163.6,139.4,-118.3960495,33.963562010000004,51.8,32.5,secondary,0.2528,689,694,0.0592
201736,-118.3960495,33.96356201,-118.3953466,33.96356087,-118.39569805,33.96356144,0.064825,2749,762.0,201736,1,32.5,87.5,201.0,113.50000000000004,925519.5562211631,3767679.173135265,925584.5802112299,3767681.971904199,2013,88.0,163.6,139.4,-118.3960495,33.963562010000004,51.8,32.5,secondary,0.2528,690,695,0.0592
201737,-118.3953466,33.96356087,-118.3946436,33.96355973,-118.3949951,33.9635603,0.064834,2749,762.0,201737,1,97.6,87.5,195.0,107.5,925584.5802112299,3767681.971904199,925649.613477223,3767684.7715389323,2013,88.0,163.6,139.4,-118.3953466,33.96356087,51.8,97.6,secondary,0.2529,688,693,0.1603
201737,-118.3953466,33.96356087,-118.3946436,33.96355973,-118.3949951,33.9635603,0.064834,2749,762.0,201737,1,97.6,87.5,195.0,107.5,925584.5802112299,3767681.971904199,925649.613477223,3767684.7715389323,2013,88.0,163.6,139.4,-118.3953466,33.96356087,51.8,97.6,secondary,0.2529,689,694,0.0594
201737,-118.3953466,33.96356087,-118.3946436,33.96355973,-118.3949951,33.9635603,0.064834,2749,762.0,201737,1,97.6,87.5,195.0,107.5,925584.5802112299,3767681.971904199,925649.613477223,3767684.7715389323,2013,88.0,163.6,139.4,-118.3953466,33.96356087,51.8,97.6,secondary,0.2529,690,695,0.0594
