SourceIndex,Longitude,Latitude,Depth
355885,-115,33.3,0
355886,-114.9,33.3,0
355887,-114.8,33.3,0
355888,-114.7,33.3,0
355889,-114.6,33.3,0
355890,-114.5,33.3,0
355891,-114.4,33.3,0
355892,-114.3,33.3,0
355893,-114.2,33.3,0
355894,-114.1,33.3,0
355895,-114,33.3,0
355896,-113.9,33.3,0
355897,-113.8,33.3,0
355898,-113.7,33.3,0
355899,-113.6,33.3,0
355900,-113.5,33.3,0
355901,-113.4,33.3,0
355902,-120.1,33.4,0
355903,-120,33.4,0
355904,-119.9,33.4,0
355905,-119.8,33.4,0
355906,-119.7,33.4,0
355907,-119.6,33.4,0
355908,-119.5,33.4,0
355909,-119.4,33.4,0
355910,-119.3,33.4,0
355911,-119.2,33.4,0
355912,-119.1,33.4,0
355913,-119,33.4,0
355914,-118.9,33.4,0
355915,-118.8,33.4,0
355916,-118.7,33.4,0
355917,-118.6,33.4,0
355918,-118.5,33.4,0
355919,-118.4,33.4,0
355920,-118.3,33.4,0
355921,-118.2,33.4,0
355922,-118.1,33.4,0
355923,-118,33.4,0
355924,-117.9,33.4,0
355925,-117.8,33.4,0
355926,-117.7,33.4,0
355927,-117.6,33.4,0
355928,-117.5,33.4,0
355929,-117.4,33.4,0
355930,-117.3,33.4,0
355931,-117.2,33.4,0
355932,-117.1,33.4,0
355933,-117,33.4,0
355934,-116.9,33.4,0
355935,-116.8,33.4,0
355936,-116.7,33.4,0
355937,-116.6,33.4,0
355938,-116.5,33.4,0
355939,-116.4,33.4,0
355940,-116.3,33.4,0
355941,-116.2,33.4,0
355942,-116.1,33.4,0
355943,-116,33.4,0
355944,-115.9,33.4,0
355945,-115.8,33.4,0
355946,-115.7,33.4,0
355947,-115.6,33.4,0
355948,-115.5,33.4,0
355949,-115.4,33.4,0
355950,-115.3,33.4,0
355951,-115.2,33.4,0
355952,-115.1,33.4,0
355953,-115,33.4,0
355954,-114.9,33.4,0
355955,-114.8,33.4,0
355956,-114.7,33.4,0
355957,-114.6,33.4,0
355958,-114.5,33.4,0
355959,-114.4,33.4,0
355960,-114.3,33.4,0
355961,-114.2,33.4,0
355962,-114.1,33.4,0
355963,-114,33.4,0
355964,-113.9,33.4,0
355965,-113.8,33.4,0
355966,-113.7,33.4,0
355967,-113.6,33.4,0
355968,-113.5,33.4,0
355969,-113.4,33.4,0
355970,-120.4,33.5,0
