ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,psi_dip,beta_crossing
65,-118.50197053164224,34.28224569430503,-118.50198398029072,34.28142966759333,-118.501977256,34.2818376809,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,6,,408.4,-119.24194695586533,8.252485204913292,0.25,45,90
66,-118.50198398029072,34.28142966759333,-118.50199742893922,34.28061364088162,-118.5019907046,34.2810216542,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,7,,317.6,-119.24192157878142,8.25251001274325,0.25,45,90
67,-118.50199742893922,34.28061364088162,-118.50201087758772,34.27979761416991,-118.5020041533,34.2802056275,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,8,,226.9,-119.24189620276836,8.252534819520227,0.25,45,90
68,-118.50201087758772,34.27979761416991,-118.5020243262362,34.278981587458205,-118.5020176019,34.2793896008,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,9,,136.1,-119.24187082765758,8.252559625409033,0.25,45,90
69,-118.5020243262362,34.278981587458205,-118.50203777488468,34.278165560746494,-118.5020310506,34.2785735741,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,10,,45.4,-119.24184545361763,8.252584430244859,0.25,45,90
70,-118.50208350337356,34.286355191643594,-118.50208908703952,34.2855353138449,-118.5020862952,34.2859452527,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,1,,45.6,-119.2422236469479,8.252214720114287,0.25,45,90
71,-118.50208908703952,34.2855353138449,-118.50209467070546,34.28471543604621,-118.5020918789,34.2851253749,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,2,,136.8,-119.24219146514187,8.252246180108006,0.25,45,90
72,-118.50209467070546,34.28471543604621,-118.5021002543714,34.28389555824752,-118.5020974625,34.2843054971,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,3,,227.9,-119.24215928411472,8.252277639330424,0.25,45,90
73,-118.5021002543714,34.28389555824752,-118.50210583803737,34.28307568044883,-118.5021030462,34.2834856193,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,4,,319.1,-119.24212710403503,8.252309097616777,0.25,45,90
74,-118.50210583803737,34.28307568044883,-118.50211142170328,34.28225580265014,-118.5021086299,34.2826657415,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,5,,410.3,-119.2420949248185,8.25234055504943,0.25,45,90
75,-118.50211142170328,34.28225580265014,-118.50211700536924,34.28143592485146,-118.5021142135,34.2818458638,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,6,,410.3,-119.2420627463854,8.252372011706383,0.25,45,90
76,-118.50211700536924,34.28143592485146,-118.50212258903518,34.28061604705277,-118.5021197972,34.281025986,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,7,,319.1,-119.24203056889523,8.252403467431646,0.25,45,90
77,-118.50212258903518,34.28061604705277,-118.50212817270112,34.27979616925408,-118.5021253809,34.2802061082,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,8,,227.9,-119.24199839226829,8.252434922303184,0.25,45,90
78,-118.50212817270112,34.27979616925408,-118.50213375636709,34.278976291455386,-118.5021309645,34.2793862304,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,9,,136.8,-119.24196621642024,8.252466376403426,0.25,45,90
79,-118.50213375636709,34.278976291455386,-118.502139340033,34.278156413656696,-118.5021365482,34.2785663526,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,10,,45.6,-119.24193404151967,8.252497829567565,0.25,45,90
