ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING
36967,-121.6199962,39.1562925,-121.6199893,39.1562393,-121.61999275,39.1562659,0.005945,1884,203.2,36967,1,3.0,173.4,21.0,152.4
37090,-121.6826484,39.69124845,-121.6823362,39.69165275,-121.6824923,39.6914506,0.052294,1886,203.2,37090,1,2462.8,30.0,196.0,165.99999999999997
37202,-121.6370871,39.74661799,-121.6368359,39.74675079,-121.6369615,39.74668439,0.026063,1886,203.2,37202,1,13.0,54.7,164.0,109.29999999999997
37211,-121.6862417,39.4940591,-121.6851761,39.49395595,-121.6857089,39.494007525,0.092154,1887,203.2,37211,1,46.2,96.3,227.0,130.7
37288,-121.6206641,39.49828601,-121.6195693,39.49829,-121.6201167,39.498288005,0.093938,1887,203.2,37288,1,198.2,88.9,253.0,164.1
38154,-121.5315152,39.08326663,-121.5310631,39.08289563,-121.53128915,39.08308113,0.056785,1904,203.2,38154,1,3575.1,135.6,3.0,132.6
38190,-121.5093786,39.06755569,-121.5085343,39.06696347,-121.50895645,39.06725958,0.098232,1904,203.2,38190,1,6187.6,131.0,85.0,133.99999999999997
39367,-121.5587799,38.58767003,-121.5583177,38.58829756,-121.5585488,38.587983795,0.080516,1931,203.2,39367,1,484.6,29.1,199.0,169.9
39730,-121.5779152,38.57300568,-121.5775681,38.57371902,-121.57774165,38.57336235,0.084865,1933,203.2,39730,1,127.1,20.0,12.0,172.00000000000003
39934,-121.5206229,38.52757391,-121.5213636,38.52692732,-121.52099325,38.527250615,0.096545,1940,203.2,39934,1,658.2,221.1,322.0,100.89999999999996
40013,-121.4812923,38.41537952,-121.4812163,38.41521977,-121.4812543,38.415299645,0.018957,1941,203.2,40013,1,9.5,158.5,314.0,155.49999999999994
40102,-121.4284018,38.40874576,-121.4278193,38.40874431,-121.42811055,38.408745035,0.050755,1941,203.2,40102,1,894.2,89.2,340.0,109.19999999999999
40358,-121.976285,38.35050299,-121.9762898,38.34994054,-121.9762874,38.350221765,0.062543,1945,203.2,40358,1,427.9,179.7,81.0,98.69999999999997
40761,-121.7345056,38.18076505,-121.73375,38.18040813,-121.7341278,38.18058659,0.077052,1952,203.2,40761,1,536.1,120.1,24.0,96.1
40941,-121.9071747,38.11676009,-121.907572,38.11598369,-121.90737335,38.11637189,0.093066,1954,203.2,40941,1,4206.5,201.3,161.0,139.7
41037,-121.940456,38.0488454,-121.9408251,38.0480754,-121.94064055,38.0484604,0.091517,1954,203.2,41037,1,2457.4,200.1,-1.0,135.0
