ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,psi_dip,beta_crossing
19205,-122.4517983,38.25261532,-122.4514086,38.25179863,-122.45160345,38.252206975,0.096978,1549,152.4,19205,1,1104.1,159.0,57.0,102.0,,1104.1,-122.56718855180671,4.957504399312422,0.25,75,90
19425,-122.784777,38.51069876,-122.7842882,38.51014209,-122.7845326,38.510420425,0.075102,1550,152.4,19425,1,1875.4,145.3,39.0,106.3,,1875.4,-122.83061456434531,4.6934902421894344,0.25,75,90
19487,-122.7109156,38.41654871,-122.710001,38.41655515,-122.7104583,38.41655193,0.079686,1552,152.4,19487,1,254.5,89.3,280.0,169.3,,254.5,-122.77206830940979,4.752194738079225,0.25,75,90
19889,-122.2197928,38.08926559,-122.2190598,38.08910056,-122.2194263,38.089183075,0.066722,1576,152.4,19889,1,328.6,105.4,226.0,120.59999999999998,,328.6,-122.38240207608317,5.142505301864626,0.25,75,90
20433,-121.5219345,38.57365036,-121.5219193,38.57364273,-121.5219269,38.573646545,0.00157,1594,152.4,20433,1,0.8,121.7,102.0,160.3,,0.8,-121.83728927981619,5.687200486134053,0.25,75,90
20514,-121.5576247,38.65546852,-121.557783,38.6555185,-121.55770385,38.65549351,0.014827,1595,152.4,20514,1,1567.5,291.0,329.0,142.0,,1567.5,-121.86677656751479,5.657778551104366,0.25,75,90
20713,-121.4352694,38.52510787,-121.4341808,38.5251138,-121.4347251,38.525110835,0.094701,1601,152.4,20713,1,1880.2,88.6,185.0,96.4,,1880.2,-121.7677225979537,5.75659256609336,0.25,75,90
20891,-121.345021,38.55114809,-121.3452638,38.5518417,-121.3451424,38.551494895,0.079964,1605,152.4,20891,1,469.2,343.6,273.0,109.40000000000002,,469.2,-121.697520667403,5.826588816138855,0.25,75,90
21053,-121.787625,38.49321016,-121.7876223,38.49383313,-121.78762365,38.493521645,0.069272,1608,152.4,21053,1,283.5,359.4,194.0,165.39999999999998,,283.5,-122.04556142365924,5.47928212159494,0.25,75,90
21755,-121.374722,38.14580772,-121.374701,38.1457591,-121.3747115,38.14578341,0.00571,1625,152.4,21755,1,2.9,160.2,233.0,107.19999999999996,,2.9,-121.71366986648599,5.8104895809978,0.25,75,90
22182,-122.0675507,38.0179863,-122.0673027,38.01742744,-122.0674267,38.01770687,0.065831,1639,152.4,22182,1,98.6,160.1,260.0,99.90000000000002,,98.6,-122.26128289280486,5.26367113216619,0.25,75,90
22296,-122.03097,37.88225865,-122.0305939,37.88152313,-122.03078195,37.88189089,0.088196,1641,152.4,22296,1,374.3,157.3,288.0,130.7,,374.3,-122.23080429089765,5.294149376294299,0.25,75,90
22795,-121.929255,37.7668906,-121.9292004,37.76675346,-121.9292277,37.76682203,0.015987,1644,152.4,22795,1,588.3,161.8,129.0,147.2,,588.3,-122.14877807713503,5.376149933846735,0.25,75,90
22860,-121.9278436,37.74613387,-121.9285963,37.74585671,-121.92821995,37.74599529,0.073005,1644,152.4,22860,1,109.7,244.5,221.0,156.5,,109.7,-122.147736642032,5.3771908092956275,0.25,75,90
23102,-120.9629299,37.71831641,-120.964005,37.71831669,-120.96346745,37.71831655,0.094564,1661,152.4,23102,1,426.5,268.8,269.0,179.80000000000018,,426.5,-121.37789134328717,6.144893323098265,0.25,75,90
23493,-120.9339411,37.63821986,-120.9346831,37.63821244,-120.9343121,37.63821615,0.065341,1667,152.4,23493,1,1173.3,268.0,313.0,135.0,,1173.3,-121.35282544421426,6.169827529040932,0.25,75,90
24253,-120.9835987,37.10142003,-120.9829293,37.10141782,-120.983264,37.101418925,0.059367,1673,152.4,24253,1,602.5,89.0,90.0,179.0000000000001,,602.5,-121.38043475007369,6.142363047741995,0.25,75,90
24269,-120.9696186,37.10158949,-120.968654,37.10157613,-120.9691363,37.10158281,0.085559,1673,152.4,24269,1,633.1,89.8,97.0,172.8,,633.1,-121.36906006481024,6.153678675801442,0.25,75,90
24353,-120.9501537,37.13365932,-120.9503821,37.13427044,-120.9502679,37.13396488,0.070906,1673,152.4,24353,1,654.8,342.1,82.0,99.9,,654.8,-121.35456628738812,6.168095966050731,0.25,75,90
25075,-120.4295583,36.69083173,-120.4285264,36.69083777,-120.42904235,36.69083475,0.092011,1694,152.4,25075,1,6958.8,88.0,88.0,180.0,,6958.8,-120.92253362417118,6.597191677292354,0.25,75,90
25099,-120.4090544,36.69804091,-120.4083108,36.69836708,-120.4086826,36.698203995,0.075568,1694,152.4,25099,1,4931.1,59.9,80.0,159.90000000000003,,4931.1,-120.90621769882762,6.613370964033544,0.25,75,90
25188,-120.339195,36.7333601,-120.3388106,36.73415856,-120.3390028,36.73375933,0.095164,1694,152.4,25188,1,142.6,19.6,324.0,124.4,,142.6,-120.85068260844002,6.6684264630326195,0.25,75,90
25681,-119.7554506,36.63432457,-119.7564183,36.63432405,-119.75593445,36.63432431,0.086347,1701,152.4,25681,1,1515.1,268.0,186.0,98.0,,1515.1,-120.37391468000602,7.140121443971312,0.25,75,90
25715,-120.3548126,36.20879745,-120.3550336,36.2087995,-120.3549231,36.208798475,0.019829,1709,152.4,25715,1,9.9,269.1,168.0,101.1,,9.9,-120.8490690619023,6.670025738347861,0.25,75,90
26167,-121.6209556,37.14897436,-121.6216899,37.14838262,-121.62132275,37.14867849,0.092547,1719,152.4,26167,1,46.3,224.0,229.0,175.00000000000014,,46.3,-121.89449313149123,5.630118765883258,0.25,75,90
26187,-121.9959402,36.97230873,-121.9963066,36.97167724,-121.9961234,36.971992985,0.077396,1721,152.4,26187,1,210.3,204.4,136.0,111.6,,210.3,-122.19354968792015,5.331396817829931,0.25,75,90
26348,-121.7141146,36.74812452,-121.7150794,36.74812621,-121.714597,36.748125365,0.085962,1726,152.4,26348,1,1373.5,269.4,305.0,144.39999999999998,,1373.5,-121.96399218748398,5.560742478926917,0.25,75,90
26919,-119.6318817,35.32838821,-119.631424,35.32769012,-119.63165285,35.328039165,0.088032,1748,152.4,26919,1,94.3,149.8,291.0,141.19999999999996,,94.3,-120.22711930401114,7.284995629803682,0.25,75,90
26993,-119.6206647,35.29953401,-119.6216431,35.29953493,-119.6211539,35.29953447,0.088791,1749,152.4,26993,1,417.3,268.1,74.0,165.9,,417.3,-120.21744386501781,7.2945382766816484,0.25,75,90
27055,-119.5928058,35.22397404,-119.591706,35.22395455,-119.5922559,35.223964295,0.099924,1750,152.4,27055,1,551.2,89.3,142.0,127.3,,551.2,-120.19088245012058,7.320731185370835,0.25,75,90
27505,-119.3494902,35.08088739,-119.3494845,35.08018926,-119.34948735,35.080538325,0.07763,1754,152.4,27505,1,1165.7,177.5,15.0,162.50000000000003,,1165.7,-119.98416698230218,7.524377654632338,0.25,75,90
27620,-120.4751948,34.92100636,-120.4761131,34.9211225,-120.47565395,34.92106443,0.084715,1755,152.4,27620,1,1329.8,277.3,264.0,166.70000000000005,,1329.8,-120.91437328560627,6.605283917658831,0.25,75,90
28395,-116.4993545,34.10051276,-116.500187,34.10009958,-116.49977075,34.10030617,0.089367,1757,152.4,28395,1,382.6,235.5,180.0,124.5,,382.6,-117.5342300426362,9.906914411527955,0.25,75,90
28881,-118.3979996,34.24396601,-118.3972845,34.24451147,-118.39764205,34.24423874,0.089439,1762,152.4,28881,1,44.8,44.8,196.0,151.20000000000002,,44.8,-119.15226507694733,8.340116847168108,0.25,75,90
28969,-116.5046997,33.87388992,-116.5053482,33.87389755,-116.50502395,33.873893735,0.059876,1764,152.4,28969,1,30.1,267.2,181.0,93.8,,30.1,-117.52393066101962,9.916795137384627,0.25,75,90
29707,-116.9958713,32.83944516,-116.9958267,32.83909452,-116.995849,32.83926984,0.039211,1768,152.4,29707,1,43.6,170.6,308.0,137.40000000000006,,43.6,-117.88213901953141,9.572427512828428,0.25,75,90
29747,-116.9827967,32.82524101,-116.9824677,32.82473373,-116.9826322,32.82498737,0.06424,1768,152.4,29747,1,1190.8,148.0,44.0,104.0,,1190.8,-117.86988363167168,9.584233574068145,0.25,75,90
29776,-116.9776481,32.81202262,-116.9767223,32.81202426,-116.9771852,32.81202344,0.08652,1768,152.4,29776,1,217.5,86.6,44.0,137.4,,217.5,-117.86441733768616,9.589498907639042,0.25,75,90
29926,-117.1634827,32.77049637,-117.1628193,32.77093705,-117.163151,32.77071671,0.079047,1770,152.4,29926,1,297.3,48.7,186.0,137.29999999999998,,297.3,-118.02273996552636,9.436860973025649,0.25,75,90
29970,-117.1442337,32.78438441,-117.1437225,32.7849172,-117.1439781,32.784650805,0.076115,1770,152.4,29970,1,114.5,35.8,43.0,172.8,,114.5,-118.00696687903654,9.452080269893104,0.25,75,90
29986,-117.1365867,32.78676666,-117.1360474,32.78675079,-117.13631705,32.786758725,0.050445,1770,152.4,29986,1,25.4,88.8,159.0,109.8,,25.4,-118.00046862063854,9.458349571770134,0.25,75,90
30133,-116.5635344,34.02239147,-116.5635236,34.02176506,-116.563529,34.022078265,0.069661,1773,152.4,30133,1,104.6,175.6,234.0,121.6,,104.6,-117.58356114973947,9.859571376756287,0.25,75,90
