ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER
10296,-121.6497649,37.87958722,-121.6500571,37.87967874,-121.649911,37.87963298,0.027593,1203,101.6,423,309,1995.5
10310,-121.6618085,37.88177617,-121.6628794,37.88177504,-121.662344,37.8817756,0.093986,1203,101.6,423,323,786.8
10421,-121.7329127,37.91607915,-121.7329019,37.91691891,-121.7329073,37.91649903,0.093382,1203,101.6,423,434,587.8
10429,-121.7329291,37.9225378,-121.7329443,37.92336883,-121.7329367,37.92295332,0.092416,1203,101.6,423,442,230.6
10473,-121.7750742,37.92519919,-121.7761182,37.92519809,-121.7755962,37.92519864,0.09157,1203,101.6,423,486,229.4
10507,-121.7736863,37.94420286,-121.7736897,37.94493036,-121.773688,37.94456661,0.080895,1203,101.6,423,520,2299.3
10581,-121.8086155,37.98009532,-121.8091542,37.97991938,-121.8088848,37.98000735,0.051112,1203,101.6,423,594,294.6
10582,-121.8091542,37.97991938,-121.809693,37.97974344,-121.8094236,37.97983141,0.051112,1203,101.6,423,595,345.8
10624,-121.8438045,37.98420595,-121.8445951,37.98470443,-121.8441998,37.98445519,0.088736,1203,101.6,423,637,684.7
10665,-121.8465383,37.99781117,-121.8474408,37.99780833,-121.8469895,37.99780975,0.07908,1203,101.6,423,678,198.1
10676,-122.1586685,37.67960358,-122.1586304,37.67963028,-122.1586494,37.67961693,0.004482,1204,101.6,424,1,2.2
10700,-121.9857178,37.52474213,-121.9856415,37.52483368,-121.9856796,37.5247879,0.012203,1208,101.6,428,3,6.1
10701,-121.9320638,37.5448424,-121.9319611,37.54478073,-121.9320124,37.54481157,0.011361,1209,101.6,429,1,5.7
10711,-122.1609802,37.4103241,-122.1606219,37.41072092,-122.1608011,37.41052251,0.054301,1214,101.6,434,3,27.1
10801,-121.0533436,37.62014504,-121.0533499,37.62085421,-121.0533468,37.62049962,0.078857,1225,101.6,445,59,315.9
10808,-121.0533807,37.62425131,-121.0533868,37.62477268,-121.0533838,37.62451199,0.057976,1225,101.6,445,66,761.3
10853,-121.0990078,37.3221601,-121.0985973,37.32208566,-121.0988026,37.32212288,0.037235,1229,101.6,449,17,513.5
10908,-121.046219,37.31850882,-121.0451805,37.31849577,-121.0456997,37.3185023,0.091848,1229,101.6,449,72,1801.2
10924,-121.0296113,37.31843855,-121.0285992,37.31868523,-121.0291053,37.31856189,0.093605,1229,101.6,449,88,328.3
